"","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim"
"e02836",48757,47414,46309,45008,39335,26165,24786
"e02837",54477,52728,52351,51910,49918,49909,47510
"e02838",36142,34756,33942,29485,3019,1937,1937
"e02839",50204,48691,47337,46274,19329,19200,19151
"e02840",46221,45112,43837,41835,19481,19240,18977
"e02841",46642,45240,44674,41923,5909,5777,5777
"e02842",43524,42641,42389,42192,41176,39356,39329
"e02843",43060,41540,39917,39067,12159,12086,12086
"e02844",67919,66510,66175,65725,62734,62595,59457
"e02845",68869,66858,64807,63921,52029,31955,31916
"e02846",69435,66799,62103,60075,38420,22316,22120
"e02847",85743,83224,81061,79896,70152,52603,49644
"e02848",85733,82044,79591,72123,38446,4471,4471
"e02849",117718,115328,113102,110004,96431,68728,67363
"e02850",47496,46009,42678,42521,34196,25642,23875
"e02851",28008,26535,24899,25124,18461,6847,6847
"e02852",51359,50619,50102,49600,43162,43013,40377
"e02853",57209,55905,54543,54081,45421,28914,28361
"e02854",50090,48300,47058,45231,22937,22930,22520
"e02855",68063,66378,65523,64523,60503,56603,54446
"e02856",44649,43289,42844,38060,5298,5296,5296
"e02857",53136,52171,51307,51060,47001,47001,45841
"e02858",106965,104179,102049,96401,61432,61432,60796
"e02859",54132,52889,52145,51835,40874,40867,40130
"e02860",25926,24841,24079,20253,4332,2808,2808
"e02861",44321,42839,41586,40300,24534,24509,24213
"e02862",40304,38356,37023,35730,6990,6551,6551
"e02863",52552,50930,49935,49588,33738,33423,32780
"e02864",59259,58025,57339,54937,46287,46221,45584
"e02865",51731,50215,48996,46301,29039,29037,28738
"e02866",60985,59466,58503,57651,42351,41617,41505
"e02867",48017,45641,44604,41539,4153,4153,4153
"e02868",16330,15865,15685,15334,15157,15157,15073
"e02869",51681,50486,49593,48735,32733,32638,31364
"e02870",65913,63606,62703,58836,44808,9014,8990
"e02871",35941,35012,34811,34686,33761,33761,33761
"e02872",52207,51363,50864,50295,49776,49774,49079
"e02873",47332,46466,46172,45026,43901,43901,42631
"e02874",64661,63639,63416,62976,62199,62061,60264
"e02875",55429,54302,53105,52687,45639,45427,44270
"e02876",59674,58334,57272,56639,49041,43011,42389
"e02877",68326,67453,66731,66381,56728,55842,54458
"e02878",47692,46548,46154,45505,42854,42854,42343
"e02879",44134,43299,43023,42863,42491,40319,39956
"e02880",6799,6611,6540,6114,6024,6024,6024
"e02881",44371,43636,43519,42522,42226,42208,41340
"e02882",37447,36360,36077,35105,34011,32009,31954
"e02883",55618,54826,54694,54523,53177,53171,52642
"e02884",28606,28139,27865,27588,25781,25765,25515
"e02885",33118,32509,32199,31915,30339,27871,27311
"e02886",29571,28965,28891,28699,28521,28521,28400
"e02887",34669,33788,33266,32968,24020,23829,23804
"e02888",24728,24252,24013,23550,19591,19591,19591
"e02889",35541,35085,34999,34759,33355,33353,32550
"e02890",31432,30862,30674,30489,27735,27662,27662
"e02891",34360,33493,32747,32539,20197,19995,19995
"e02892",33807,33072,32558,31918,23470,23470,23008
"e02893",44037,42940,41321,40609,11536,10505,10505
"e02894",39651,38546,37590,37236,24928,24928,24814
"e02895",41880,40548,40170,39852,37654,37654,36085
"e02896",63111,61884,61524,60513,54504,54504,54504
"e02897",42778,42021,41710,41461,39788,39788,35894
"e02898",54619,53144,52880,52604,51758,51758,49244
"e02899",40973,40332,40125,39856,39009,39009,35139
"e02900",36965,36289,36015,35681,33185,33173,29681
"e02901",73305,71559,69181,67027,22074,22070,21536
"e02902",68191,66136,64250,62752,26354,25930,25605
"e02903",52347,51242,50626,50124,40935,40930,40465
"e02904",38456,37013,35854,21170,13688,13677,13620
"e02905",39324,38712,38454,38046,37063,37063,33721
"e02906",70445,68453,66880,65095,40370,40366,37988
"e02907",54464,52691,52105,48454,6038,4822,4822
"e02908",22401,21158,20601,18324,11715,2583,2583
"e02909",31785,30912,29679,28862,11116,10537,10316
"e02910",33263,32288,31673,31291,27766,22457,21894
"e02911",28765,27973,27679,27285,24093,24093,23536
"e02912",11655,10797,10546,2147,1476,1476,1476
"e02913",30062,29031,28640,26235,2856,2856,2856
"e02914",29747,28694,28235,25498,3568,3566,3566
"e02915",33601,32038,31407,31515,20857,393,393
"e02916",37129,36170,35844,33169,32815,32753,32379
"e02917",45939,44990,44385,43642,38324,37679,37679
"e02918",57386,56201,55886,55698,55280,55184,55184
"e02919",59272,58191,57620,57129,53073,53060,49763
"e02920",45023,43651,42520,41291,25035,25012,25012
"e02921",94258,92189,90161,86921,48435,48435,48408
"e02922",51107,50243,50021,49925,49588,49588,49580
"e02923",71114,69748,69435,68916,67905,67307,63809
"e02924",1424,1094,924,769,647,647,647
"e02925",269,217,112,98,27,27,27
"e02926",46355,45438,45102,44874,42265,42241,41912
"e02927",53130,52339,52192,52080,51732,51732,51732
"e02928",69941,68584,67681,66626,52002,52002,51991
"e02929",47704,47341,47286,47134,47044,47041,46921
"e02930",6003,5693,5537,5034,3761,315,315
"e02931",37011,36469,36381,36333,36114,36114,36114
"e02932",33271,32825,32738,32461,32303,32303,32014
"e02933",34842,34337,34020,33700,32560,30477,28353
"e02934",39661,39315,39207,38504,38388,38388,38388
"e02935",546,432,337,330,233,233,233
"e02936",41438,40989,40929,40912,40805,40805,40797
"e02937",34056,33553,33407,33369,32718,32718,32313
"e02938",44364,43879,43783,43728,43550,43134,43134
