"","total","spread","parent_id","curated","rank"
"ASV2",2313068,269,"ASV2","parent",2
"ASV1",2350882,233,"ASV1","parent",1
"ASV4",280508,123,"ASV4","parent",4
"ASV6",157699,108,"ASV6","parent",6
"ASV14",51804,74,"ASV2","merged",14
"ASV7",132910,71,"ASV7","parent",7
"ASV11",65026,61,"ASV11","parent",11
"ASV42",4716,54,"ASV2","merged",41
"ASV5",255867,49,"ASV5","parent",5
"ASV33",6411,47,"ASV2","merged",33
"ASV34",5700,47,"ASV2","merged",34
"ASV9",87022,44,"ASV9","parent",9
"ASV13",54344,37,"ASV13","parent",13
"ASV27",12296,34,"ASV1","merged",27
"ASV10",75405,31,"ASV10","parent",10
"ASV37",5096,26,"ASV5","merged",37
"ASV3",309491,25,"ASV3","parent",3
"ASV16",38753,24,"ASV16","parent",16
"ASV8",91091,21,"ASV8","parent",8
"ASV15",39192,18,"ASV15","parent",15
"ASV98",832,17,"ASV2","merged",98
"ASV96",882,16,"ASV5","merged",96
"ASV19",28767,15,"ASV19","parent",19
"ASV31",7713,15,"ASV31","parent",31
"ASV494",25,14,"ASV1","merged",486
"ASV40",4746,13,"ASV4","merged",40
"ASV29",7885,12,"ASV29","parent",29
"ASV153",357,12,"ASV5","merged",153
"ASV12",54871,11,"ASV12","parent",12
"ASV17",38175,11,"ASV17","parent",17
"ASV30",7822,11,"ASV2","merged",30
"ASV63",2078,11,"ASV63","parent",63
"ASV72",1690,11,"ASV2","merged",72
"ASV76",1593,11,"ASV76","parent",76
"ASV86",1072,10,"ASV86","parent",86
"ASV134",424,10,"ASV1","merged",134
"ASV28",10518,9,"ASV28","parent",28
"ASV35",5564,9,"ASV35","parent",35
"ASV39",4939,9,"ASV39","parent",39
"ASV55",2724,9,"ASV2","merged",55
"ASV85",1090,9,"ASV4","merged",85
"ASV316",70,9,"ASV316","parent",316
"ASV18",29518,8,"ASV18","parent",18
"ASV25",12902,8,"ASV25","parent",25
"ASV53",2858,8,"ASV7","merged",53
"ASV80",1434,8,"ASV3","merged",80
"ASV38",4999,7,"ASV38","parent",38
"ASV45",3718,7,"ASV45","parent",45
"ASV62",2146,7,"ASV9","merged",62
"ASV69",1764,7,"ASV3","merged",69
"ASV46",3620,6,"ASV46","parent",46
"ASV52",2933,6,"ASV52","parent",52
"ASV79",1480,6,"ASV79","parent",79
"ASV20",21016,5,"ASV7","merged",20
"ASV22",16842,5,"ASV22","parent",22
"ASV49",3366,5,"ASV49","parent",49
"ASV54",2774,5,"ASV54","parent",54
"ASV68",1787,5,"ASV68","parent",68
"ASV74",1676,5,"ASV74","parent",74
"ASV82",1208,5,"ASV82","parent",82
"ASV94",902,5,"ASV6","merged",94
"ASV133",435,5,"ASV133","parent",133
"ASV448",33,5,"ASV448","parent",446
"ASV481",27,5,"ASV481","parent",479
"ASV504",23,5,"ASV504","parent",500
"ASV21",19606,4,"ASV21","parent",21
"ASV23",16036,4,"ASV23","parent",23
"ASV87",1046,4,"ASV87","parent",87
"ASV90",936,4,"ASV10","merged",90
"ASV103",715,4,"ASV103","parent",103
"ASV126",486,4,"ASV126","parent",125
"ASV188",209,4,"ASV188","parent",188
"ASV606",13,4,"ASV606","parent",603
"ASV26",12832,3,"ASV26","parent",26
"ASV32",6417,3,"ASV32","parent",32
"ASV47",3599,3,"ASV47","parent",47
"ASV48",3588,3,"ASV48","parent",48
"ASV57",2575,3,"ASV57","parent",57
"ASV66",1941,3,"ASV66","parent",66
"ASV77",1532,3,"ASV77","parent",77
"ASV88",1026,3,"ASV88","parent",88
"ASV91",925,3,"ASV18","merged",91
"ASV105",686,3,"ASV8","merged",104
"ASV106",685,3,"ASV2","merged",106
"ASV122",516,3,"ASV122","parent",122
"ASV128",471,3,"ASV17","merged",128
"ASV152",358,3,"ASV152","parent",152
"ASV179",246,3,"ASV5","merged",179
"ASV321",68,3,"ASV321","parent",320
"ASV623",12,3,"ASV1","merged",616
"ASV24",13623,2,"ASV24","parent",24
"ASV36",5144,2,"ASV36","parent",36
"ASV43",4613,2,"ASV43","parent",43
"ASV44",4017,2,"ASV2","merged",44
"ASV51",3162,2,"ASV2","merged",51
"ASV58",2564,2,"ASV2","merged",58
"ASV59",2226,2,"ASV59","parent",59
"ASV60",2207,2,"ASV4","merged",60
"ASV64",2012,2,"ASV1","merged",64
"ASV65",1948,2,"ASV65","parent",65
"ASV70",1728,2,"ASV1","merged",70
"ASV93",913,2,"ASV2","merged",93
"ASV112",603,2,"ASV112","parent",112
"ASV114",576,2,"ASV114","parent",114
"ASV115",570,2,"ASV10","merged",115
"ASV119",534,2,"ASV119","parent",119
"ASV120",523,2,"ASV21","merged",120
"ASV129",463,2,"ASV2","merged",129
"ASV139",388,2,"ASV139","parent",139
"ASV150",359,2,"ASV5","merged",150
"ASV157",319,2,"ASV2","merged",157
"ASV164",292,2,"ASV164","parent",164
"ASV165",286,2,"ASV3","merged",165
"ASV168",278,2,"ASV168","parent",168
"ASV173",267,2,"ASV173","parent",173
"ASV176",253,2,"ASV7","merged",176
"ASV204",174,2,"ASV204","parent",204
"ASV220",148,2,"ASV6","merged",220
"ASV260",111,2,"ASV260","parent",260
"ASV392",47,2,"ASV2","merged",390
"ASV410",40,2,"ASV410","parent",407
"ASV424",38,2,"ASV424","parent",422
"ASV668",8,2,"ASV668","parent",664
"ASV731",2,2,"ASV731","parent",716
"ASV41",4716,1,"ASV41","parent",42
"ASV50",3272,1,"ASV1","merged",50
"ASV56",2714,1,"ASV56","parent",56
"ASV61",2160,1,"ASV2","merged",61
"ASV67",1818,1,"ASV2","merged",67
"ASV71",1713,1,"ASV2","merged",71
"ASV73",1688,1,"ASV73","parent",73
"ASV75",1597,1,"ASV75","parent",75
"ASV78",1530,1,"ASV15","merged",78
"ASV81",1269,1,"ASV81","parent",81
"ASV83",1107,1,"ASV4","merged",83
"ASV84",1103,1,"ASV2","merged",84
"ASV89",1020,1,"ASV89","parent",89
"ASV92",914,1,"ASV16","merged",92
"ASV95",902,1,"ASV35","merged",95
"ASV97",875,1,"ASV97","parent",97
"ASV99",791,1,"ASV2","merged",99
"ASV100",789,1,"ASV100","parent",100
"ASV101",729,1,"ASV101","parent",101
"ASV102",725,1,"ASV97","merged",102
"ASV104",686,1,"ASV2","merged",105
"ASV107",661,1,"ASV2","merged",107
"ASV108",655,1,"ASV15","merged",108
"ASV109",653,1,"ASV4","merged",109
"ASV110",635,1,"ASV110","parent",110
"ASV111",631,1,"ASV7","merged",111
"ASV113",586,1,"ASV113","parent",113
"ASV116",568,1,"ASV1","merged",116
"ASV117",546,1,"ASV4","merged",117
"ASV118",544,1,"ASV118","parent",118
"ASV121",519,1,"ASV2","merged",121
"ASV123",512,1,"ASV12","merged",123
"ASV124",497,1,"ASV124","parent",124
"ASV125",486,1,"ASV2","merged",126
"ASV127",476,1,"ASV127","parent",127
"ASV130",463,1,"ASV2","merged",130
"ASV131",450,1,"ASV24","merged",131
"ASV132",437,1,"ASV132","parent",132
"ASV135",423,1,"ASV2","merged",135
"ASV136",416,1,"ASV2","merged",136
"ASV137",409,1,"ASV137","parent",137
"ASV138",395,1,"ASV138","parent",138
"ASV140",387,1,"ASV4","merged",140
"ASV141",387,1,"ASV5","merged",141
"ASV142",385,1,"ASV2","merged",142
"ASV143",372,1,"ASV143","parent",143
"ASV144",371,1,"ASV144","parent",144
"ASV145",370,1,"ASV2","merged",145
"ASV146",369,1,"ASV1","merged",146
"ASV147",364,1,"ASV26","merged",147
"ASV148",364,1,"ASV148","parent",148
"ASV149",364,1,"ASV149","parent",149
"ASV151",359,1,"ASV2","merged",151
"ASV154",340,1,"ASV1","merged",154
"ASV155",337,1,"ASV1","merged",155
"ASV156",320,1,"ASV1","merged",156
"ASV158",317,1,"ASV158","parent",158
"ASV159",311,1,"ASV82","merged",159
"ASV160",310,1,"ASV160","parent",160
"ASV161",306,1,"ASV15","merged",161
"ASV162",304,1,"ASV15","merged",162
"ASV163",303,1,"ASV63","merged",163
"ASV166",285,1,"ASV1","merged",166
"ASV167",283,1,"ASV167","parent",167
"ASV169",276,1,"ASV16","merged",169
"ASV170",275,1,"ASV170","parent",170
"ASV171",272,1,"ASV171","parent",171
"ASV172",271,1,"ASV172","parent",172
"ASV174",262,1,"ASV10","merged",174
"ASV175",258,1,"ASV2","merged",175
"ASV177",248,1,"ASV177","parent",177
"ASV178",247,1,"ASV4","merged",178
"ASV180",235,1,"ASV180","parent",180
"ASV181",235,1,"ASV181","parent",181
