"ASV","taxon","taxonomic_level","species","genus","family","order","class","phylum","kingdom"
"ASV1","Oncorhynchus_gorbuscha","species","Oncorhynchus_gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"ASV10","Leuroglossus_schmidti","species","Leuroglossus_schmidti","Leuroglossus","Bathylagidae","Argentiniformes","Actinopteri","Chordata","Eukaryota"
"ASV11","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV110","Hypomesus_pretiosus","species","Hypomesus_pretiosus","Hypomesus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota"
"ASV112","Microstomus_pacificus","species","Microstomus_pacificus","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV113","Glyptocephalus_zachirus","species","Glyptocephalus_zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV119","Liparis_fucensis","species","Liparis_fucensis","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV12","Acipenser_fulvescens","species","Acipenser_fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Chordata","Eukaryota"
"ASV122","Oncorhynchus_kisutch","species","Oncorhynchus_kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"ASV126","Oncorhynchus_tshawytscha","species","Oncorhynchus_tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"ASV127","Malacocottus","genus",NA,"Malacocottus","Psychrolutidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV13","Limanda_aspera","species","Limanda_aspera","Limanda","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV133","Lepidopsetta","genus",NA,"Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV138","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV143","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV149","Leuroglossus_schmidti","species","Leuroglossus_schmidti","Leuroglossus","Bathylagidae","Argentiniformes","Actinopteri","Chordata","Eukaryota"
"ASV15","Leuroglossus_schmidti","species","Leuroglossus_schmidti","Leuroglossus","Bathylagidae","Argentiniformes","Actinopteri","Chordata","Eukaryota"
"ASV152","Oncorhynchus_3","genus",NA,"Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"ASV16","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV164","Mallotus_villosus","species","Mallotus_villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota"
"ASV167","Hexagrammos","genus",NA,"Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV168","Hippoglossoides_elassodon","species","Hippoglossoides_elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV17","Oncorhynchus_nerka","species","Oncorhynchus_nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"ASV170","Blepsias_bilobus","species","Blepsias_bilobus","Blepsias","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV171","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV173","Salvelinus","genus",NA,"Salvelinus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"ASV18","Stichaeus_punctatus","species","Stichaeus_punctatus","Stichaeus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV181","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV19","Anoplarchus","genus",NA,"Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV193","Oncorhynchus_nerka","species","Oncorhynchus_nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"ASV195","Enophrys_bison","species","Enophrys_bison","Enophrys","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV2","Clupea_pallasii","species","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"ASV204","Oncorhynchus_tshawytscha","species","Oncorhynchus_tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"ASV21","Aptocyclus_ventricosus","species","Aptocyclus_ventricosus","Aptocyclus","Cyclopteridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV218","Gadus_chalcogrammus","species","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV219","Hippoglossus_stenolepis","species","Hippoglossus_stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV22","Clupea_pallasii","species","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"ASV221","Hexagrammos","genus",NA,"Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV23","Clupea_pallasii","species","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"ASV24","Gadus_chalcogrammus","species","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV245","Clupea_pallasii","species","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
