"","ASV","taxon","taxonomic_level"
"1","ASV1","Oncorhynchus_gorbuscha","species"
"2","ASV10","Leuroglossus_schmidti","species"
"3","ASV11","Sebastes","genus"
"4","ASV110","Hypomesus_pretiosus","species"
"5","ASV112","Microstomus_pacificus","species"
"6","ASV113","Glyptocephalus_zachirus","species"
"7","ASV119","Liparis_fucensis","species"
"8","ASV12","Acipenser_fulvescens","species"
"9","ASV122","Oncorhynchus_kisutch","species"
"10","ASV126","Oncorhynchus_tshawytscha","species"
"11","ASV127","Malacocottus","genus"
"12","ASV13","Limanda_aspera","species"
"13","ASV133","Lepidopsetta","genus"
"14","ASV138","Sebastes","genus"
"15","ASV143","Gadus","genus"
"16","ASV149","Leuroglossus_schmidti","species"
"17","ASV15","Leuroglossus_schmidti","species"
"18","ASV152","Oncorhynchus","genus"
"19","ASV16","Gadus","genus"
"20","ASV164","Mallotus_villosus","species"
"21","ASV167","Hexagrammos","genus"
"22","ASV168","Hippoglossoides_elassodon","species"
"23","ASV17","Oncorhynchus_nerka","species"
"24","ASV170","Blepsias_bilobus","species"
"25","ASV171","Atheresthes","genus"
"26","ASV173","Salvelinus","genus"
"27","ASV18","Stichaeus_punctatus","species"
"28","ASV181","Gadus","genus"
"29","ASV19","Anoplarchus","genus"
"30","ASV193","Oncorhynchus_nerka","species"
"31","ASV195","Enophrys_bison","species"
"32","ASV2","Clupea_pallasii","species"
"33","ASV204","Oncorhynchus_tshawytscha","species"
"34","ASV21","Aptocyclus_ventricosus","species"
"35","ASV218","Gadus_chalcogrammus","species"
"36","ASV219","Hippoglossus_stenolepis","species"
"37","ASV22","Clupea_pallasii","species"
"38","ASV221","Hexagrammos","genus"
"39","ASV23","Clupea_pallasii","species"
"40","ASV24","Gadus_chalcogrammus","species"
"41","ASV245","Clupea_pallasii","species"
"42","ASV248","Oncorhynchus_nerka","species"
"43","ASV25","Gadus_chalcogrammus","species"
"44","ASV253","Gadus","genus"
"45","ASV259","Gadus","genus"
"46","ASV26","Zaprora_silenus","species"
"47","ASV260","Artedius_lateralis","species"
"48","ASV28","Sebastes","genus"
"49","ASV29","Sebastes_babcocki","species"
"50","ASV291","Lepidopsetta","genus"
"51","ASV295","Oncorhynchus_kisutch","species"
"52","ASV3","Oncorhynchus_keta","species"
"53","ASV303","Pholis_laeta","species"
"54","ASV31","Bathymaster_caeruleofasciatus","species"
"55","ASV32","Glyptocephalus_zachirus","species"
"56","ASV321","Ronquilus_jordani","species"
"57","ASV325","Platichthys_stellatus","species"
"58","ASV326","Microgadus_proximus","species"
"59","ASV327","Stenobrachius_leucopsarus","species"
"60","ASV334","Gasterosteus_aculeatus","species"
"61","ASV35","Leptocottus_armatus","species"
"62","ASV354","Leptocottus_armatus","species"
"63","ASV36","Poroclinus_rothrocki","species"
"64","ASV375","Ronquilus_jordani","species"
"65","ASV379","Gadus_chalcogrammus","species"
"66","ASV38","Thaleichthys_pacificus","species"
"67","ASV39","Ammodytes_personatus","species"
"68","ASV4","Sebastes","genus"
"69","ASV41","Anoplarchus_purpurescens","species"
"70","ASV410","Gadus_macrocephalus","species"
"71","ASV411","Hippoglossus_stenolepis","species"
"72","ASV419","Stenobrachius_leucopsarus","species"
"73","ASV424","Xiphister","genus"
"74","ASV43","Leuroglossus_schmidti","species"
"75","ASV45","Mallotus_villosus","species"
"76","ASV451","Gadus_chalcogrammus","species"
"77","ASV452","Ronquilus_jordani","species"
"78","ASV457","Artedius_fenestralis","species"
"79","ASV46","Clupea_pallasii","species"
"80","ASV461","Gadus_chalcogrammus","species"
"81","ASV462","Anoplarchus","genus"
"82","ASV47","Citharichthys_stigmaeus","species"
"83","ASV472","Hippoglossoides_elassodon","species"
"84","ASV478","Sebastes","genus"
"85","ASV48","Clupea_pallasii","species"
"86","ASV49","Bathymaster","genus"
"87","ASV495","Cymatogaster_aggregata","species"
"88","ASV498","Stenobrachius_leucopsarus","species"
"89","ASV499","Ronquilus_jordani","species"
"90","ASV5","Clupea_pallasii","species"
"91","ASV52","Platichthys_stellatus","species"
"92","ASV539","Thaleichthys_pacificus","species"
"93","ASV54","Artedius_harringtoni","species"
"94","ASV550","Clupea_pallasii","species"
"95","ASV56","Clupea_pallasii","species"
"96","ASV57","Gadus","genus"
"97","ASV574","Bathymaster","genus"
"98","ASV59","Xiphister","genus"
"99","ASV591","Stichaeus_punctatus","species"
"100","ASV592","Pleuronectidae","family"
"101","ASV6","Sebastes","genus"
"102","ASV612","Gadus","genus"
"103","ASV617","Leptocottus_armatus","species"
"104","ASV618","Leptoclinus_maculatus","species"
"105","ASV621","Sebastes","genus"
"106","ASV622","Hemilepidotus_hemilepidotus","species"
"107","ASV63","Ronquilus_jordani","species"
"108","ASV649","Anoplopoma_fimbria","species"
"109","ASV650","Sebastes","genus"
"110","ASV657","Aptocyclus_ventricosus","species"
"111","ASV66","Cryptacanthodes_aleutensis","species"
"112","ASV672","Clinocottus_acuticeps","species"
"113","ASV676","Artedius_lateralis","species"
"114","ASV679","Leptocottus_armatus","species"
"115","ASV681","Gadus","genus"
"116","ASV688","Pholis_laeta","species"
"117","ASV689","Lycodes_brevipes","species"
"118","ASV694","Myoxocephalus","genus"
"119","ASV7","Gadus_chalcogrammus","species"
"120","ASV702","Ammodytes_hexapterus","species"
"121","ASV704","Acipenser_fulvescens","species"
"122","ASV715","Gadus_chalcogrammus","species"
"123","ASV719","Anoplarchus_purpurescens","species"
"124","ASV722","Hexagrammos","genus"
"125","ASV724","Ammodytes_personatus","species"
"126","ASV73","Glyptocephalus_zachirus","species"
"127","ASV74","Lumpenella_longirostris","species"
"128","ASV75","Sebastolobus","genus"
"129","ASV753","Oncorhynchus_gorbuscha","species"
"130","ASV76","Oncorhynchus","genus"
"131","ASV79","Gasterosteus_aculeatus","species"
"132","ASV8","Oncorhynchus","genus"
"133","ASV81","Hemilepidotus_jordani","species"
"134","ASV82","Hexagrammos","genus"
"135","ASV86","Gadus_chalcogrammus","species"
"136","ASV87","Pholis_laeta","species"
"137","ASV88","Citharichthys_stigmaeus","species"
"138","ASV89","Sebastes","genus"
"139","ASV9","Hippoglossoides_elassodon","species"
"140","ASV97","Lepidopsetta","genus"
