"","ASV","species","genus","family","order","class","phylum","kingdom","seq_percID","diff","taxonomic_level","taxon"
"1","ASV1","Oncorhynchus_gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Oncorhynchus_gorbuscha"
"2","ASV10","Leuroglossus_schmidti","Leuroglossus","Bathylagidae","Argentiniformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Leuroglossus_schmidti"
"3","ASV11","Sebastes_caurinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"4","ASV11","Sebastes_maliger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"5","ASV110","Hypomesus_pretiosus","Hypomesus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Hypomesus_pretiosus"
"6","ASV112","Microstomus_pacificus","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Microstomus_pacificus"
"7","ASV113","Glyptocephalus_zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,0,"species","Glyptocephalus_zachirus"
"8","ASV119","Liparis_fucensis","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Liparis_fucensis"
"9","ASV12","Acipenser_fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Acipenser_fulvescens"
"10","ASV122","Oncorhynchus_kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Oncorhynchus_kisutch"
"11","ASV126","Oncorhynchus_tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Oncorhynchus_tshawytscha"
"12","ASV127","Malacocottus_kincaidi","Malacocottus","Psychrolutidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Malacocottus"
"13","ASV127","Malacocottus_zonurus","Malacocottus","Psychrolutidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Malacocottus"
"14","ASV13","Limanda_aspera","Limanda","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Limanda_aspera"
