"","e02836","e02837","e02838","e02839","e02840","e02841","e02842","e02843","e02844","e02845","e02846","e02847","e02848","e02849","e02850","e02851","e02852","e02853","e02854","e02855","e02856","e02857","e02858","e02859","e02860","e02861","e02862","e02863","e02864","e02865","e02866","e02867","e02868","e02869","e02870","e02871","e02872","e02873","e02874","e02875","e02876","e02877","e02878","e02879","e02880","e02881","e02882","e02883","e02884","e02885","e02886","e02887","e02888","e02889","e02890","e02891","e02892","e02893","e02894","e02895","e02896","e02897","e02898","e02899","e02900","e02901","e02902","e02903","e02904","e02905","e02906","e02907","e02908","e02909","e02910","e02911","e02912","e02913","e02914","e02915","e02916","e02917","e02918","e02919","e02920","e02921","e02922","e02923","e02924","e02925","e02926","e02927","e02928","e02929","e02930","e02931","e02932","e02933","e02934","e02935","e02936","e02937","e02938","e02939","e02940","e02941","e02942","e02943","e02944","e02945","e02946","e02947","e02948","e02949","e02950","e02951","e02952","e02953","e02954","e02955","e02956","e02957","e02958","e02959","e02960","e02961","e02962","e02963","e02964","e02965","e02966","e02967","e02968","e02969","e02970","e02971","e02972","e02973","e02974","e05187","e05188","e05189","e05190","e05191","e05192","e05193","e05194","e05195","e05196","e05197","e05198","e05199","e05200","e05201","e05202","e05203","e05204","e05205","e05206","e05207","e05208","e05209","e05210","e05211","e05212","e05213","e05214","e05215","e05216","e05217","e05218","e05219","e05220","e05221","e05222","e05223","e05224","e05225","e05226","e05227","e05228","e05229","e05230","e05231","e05232","e05233","e05234","e05235","e05236","e05237","e05238","e05239","e05240","e05241","e05242","e05243","e05244","e05245","e05246","e05247","e05248","e05249","e05250","e05251","e05252","e05253","e05254","e05255","e05256","e05257","e05258","e05259","e05260","e05261","e05262","e05263","e05264","e05265","e05266","e05267","e05268","e05269","e05270","e05271","e05272","e05273","e05274","e05275","e05276","e05277","e05278","e05279","e05280","e05281","e05282","e05283","e05284","e05285","e05286","e05287","e05288","e05289","e05290","e05291","e05292","e05293","e05294","e05295","e05296","e05297","e05298","e05299","e05300","e05301","e05302","e05303","e05304","e05305","e05306","e05307","e05308","e05309","e05310","e05311","e05312","e05313","e05314","e05315","e05316","e05317","e05318","e05319","e05320","NC-27","PC-27","PC-28","PC-29","PnkHerNC","PnkHerPC"
"ASV1",0,201,158,0,183,12,126,147,136,271,119,52,103,331,67,58,0,116,158,27,36,139,176,98,65,0,81,136,92,29,76,67,33,29,168,0,35,37,44,0,53,0,80,17,44,33,86,32,0,27,0,312,0,4887,0,0,0,0,44,114,28,0,142,51,34,0,35,41,176,43,429,34,0,40,89,3202,134,0,387,23,55,37328,54815,0,0,47338,49157,23414,58,0,40821,51534,0,46716,276,36011,30530,0,0,233,40520,31093,43049,36276,49935,22177,40041,45687,21442,4719,0,59689,90039,4219,0,32323,60219,42571,35865,0,0,0,53529,9019,44257,28978,6308,0,81828,12720,1035,75,0,46,86,19,200,287,1532,125,15893,145,1901,19044,143,2222,1195,7812,11693,337,123,18327,15348,3049,2740,4904,315,428,519,12121,7271,0,3939,15931,124,251,141,14002,17761,7854,2652,19757,219,23601,77,16676,0,0,3045,0,155,21694,3857,5042,7167,9359,19033,7090,401,262,17209,26839,0,0,17945,11724,0,330,167,23030,7416,21475,0,169,551,538,267,2260,24984,5232,2810,7603,136,546,101,24041,25508,23429,18943,17180,240,759,129,22017,12749,1089,3009,0,239,1985,123,291,18534,197,122,98,19691,0,4485,14394,237,15031,257,18342,19411,18032,10836,167,152,20371,14649,25376,119,19541,281,3493,0,5685,20309,0,10633,127,14209,24908,311,0,27658,18569,0,27337,254,12780,230,135,5201,24,116,0,57
"ASV10",9051,31597,115,0,0,0,118,86,9421,0,0,0,0,9784,0,168,0,0,571,0,0,0,0,0,0,0,0,0,421,0,0,0,0,1556,472,0,0,0,776,89,0,0,465,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,8246,0,0,243,0,621,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,26,0,0,0,0,0,11,48,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,1048,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"ASV100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV101",0,0,0,0,0,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV103",111,373,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV11",220,0,0,0,0,0,0,0,0,0,0,1332,64,0,0,0,0,0,3604,748,0,148,0,0,13,0,0,0,0,0,954,0,0,0,307,0,297,0,0,0,0,521,0,0,0,276,97,0,0,162,0,0,0,0,0,0,2120,0,0,0,0,2196,0,0,2661,0,0,0,0,0,623,0,0,1404,842,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,0,84,0,0,0,0,368,0,0,0,88,0,0,0,0,0,36,0,5288,6073,0,447,0,0,392,0,0,0,0,0,0,468,0,0,971,0,0,0,0,0,0,0,0,0,0,1893,0,4847,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1066,93,0,2192,3309,0,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,321,59,0,0,225,0,0,0,158,0,152,0,0,0,0,829,197,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548,0,0,0,1179,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,0,1261,232,0,980,0,0,25,392,0,0,2205,0,0,0,0,0,0,0,2846,0,10,2073,0,0,0,0,0,0,0
"ASV110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0
